SNR,Error
-30,0.05
-29,0.05656934306569343
-28,0.06496350364963503
-27,0.08759124087591241
-26,0.1354014598540146
-25,0.1718978102189781
-24,0.23065693430656933
-23,0.3178832116788321
-22,0.4492700729927007
-21,0.5828467153284671
-20,0.7171532846715328
-19,0.8452554744525548
-18,0.9226277372262773
-17,0.9755474452554744
-16,0.9956204379562044
-15,0.9992700729927008
-14,1.0
-13,1.0
-12,1.0
-11,1.0
-10,1.0
-9,1.0
-8,1.0
-7,1.0
-6,1.0
-5,1.0
-4,1.0
-3,1.0
-2,1.0
-1,1.0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
