SNR,Error
-30,0.03321167883211679
-29,0.05364963503649635
-28,0.05948905109489051
-27,0.08905109489051095
-26,0.11678832116788321
-25,0.1645985401459854
-24,0.23138686131386862
-23,0.28102189781021897
-22,0.40182481751824817
-21,0.531021897810219
-20,0.6602189781021898
-19,0.8142335766423358
-18,0.9058394160583941
-17,0.9675182481751825
-16,0.9901459854014598
-15,0.9985401459854014
-14,0.9996350364963503
-13,1.0
-12,1.0
-11,1.0
-10,1.0
-9,1.0
-8,1.0
-7,1.0
-6,1.0
-5,1.0
-4,1.0
-3,1.0
-2,1.0
-1,1.0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
