SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,72,2,70,nan,0.0,nan,0.0,0.0
-33,68,0,68,nan,0.0,nan,0.0,0.0
-32,64,4,60,nan,0.0,nan,0.0,0.0
-31,57,2,55,nan,0.0,nan,0.0,0.0
-30,69,2,67,nan,0.0,nan,0.0,0.0
-29,60,2,58,nan,0.0,nan,0.0,0.0
-28,45,1,44,nan,0.0,nan,0.0,0.0
-27,55,0,55,nan,0.0,nan,0.0,0.0
-26,57,0,57,nan,0.0,nan,0.0,0.0
-25,63,0,63,nan,0.0,nan,0.0,0.0
-24,57,0,57,nan,0.0,nan,0.0,0.0
-23,75,1,74,nan,0.0,nan,0.0,0.0
-22,60,1,59,nan,0.0,nan,0.0,0.0
-21,57,0,54,2851.9317,33.3333,23.3333,66.6667,56.6667
-20,63,0,56,4647.8174,42.8571,38.8571,71.4286,75.7143
-19,63,0,44,1531.1744,57.8947,12.4211,89.4737,73.1579
-18,64,3,32,1449.7943,72.4138,11.8276,89.6552,95.8621
-17,65,3,18,347.9759,79.5455,2.8864,95.4545,99.3182
-16,65,1,7,701.6698,80.7018,5.9298,92.9825,99.6491
-15,59,0,3,281.1709,75.0,2.5357,96.4286,100.0
-14,62,0,0,587.9205,79.0323,4.9032,95.1613,99.8387
-13,57,0,0,121.3361,89.4737,1.193,100.0,100.0
-12,59,0,0,145.2164,86.4407,1.4068,96.6102,100.0
-11,62,0,0,125.0311,88.7097,0.9839,98.3871,100.0
-10,60,0,0,141.1066,86.6667,1.15,100.0,100.0
-9,58,0,0,108.8009,89.6552,0.9138,98.2759,100.0
-8,68,0,0,106.6723,89.7059,0.8971,100.0,100.0
-7,64,1,0,114.4145,88.8889,0.9206,100.0,100.0
-6,53,0,0,188.8983,81.1321,1.5283,100.0,100.0
-5,66,0,0,121.4296,87.8788,0.9697,100.0,100.0
-4,63,1,0,144.5416,85.4839,1.1613,100.0,100.0
-3,57,0,0,173.9552,82.4561,1.4035,100.0,100.0
-2,47,1,0,150.6311,84.7826,1.2174,100.0,100.0
-1,64,1,1,174.7292,82.2581,1.4194,100.0,100.0
0,67,0,1,151.6015,84.6154,1.2308,100.0,100.0
