SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-29,77,1,76,nan,0.0,nan,0.0,0.0
-28,80,1,79,nan,0.0,nan,0.0,0.0
-27,84,3,81,nan,0.0,nan,0.0,0.0
-26,64,1,63,nan,0.0,nan,0.0,0.0
-25,97,1,96,nan,0.0,nan,0.0,0.0
-24,95,3,92,nan,0.0,nan,0.0,0.0
-23,84,0,84,nan,0.0,nan,0.0,0.0
-22,69,1,67,685.4469,0.0,5.0,100.0,40.0
-21,85,0,78,288.9298,85.7143,2.5714,100.0,62.8571
-20,91,0,80,3178.5046,45.4545,25.8182,72.7273,76.3636
-19,91,0,57,3909.5052,73.5294,32.2059,76.4706,81.4706
-18,75,0,29,1901.7341,80.4348,15.8261,89.1304,94.3478
-17,85,0,21,2271.243,84.375,18.8281,85.9375,98.2812
-16,86,0,6,474.4097,88.75,4.025,95.0,100.0
-15,69,0,2,71.2671,97.0149,0.7313,98.5075,100.0
-14,74,0,0,71.0138,95.9459,0.6892,100.0,100.0
-13,73,0,0,74.3745,94.5205,0.6712,100.0,100.0
-12,76,0,0,57.9137,96.0526,0.5395,100.0,100.0
-11,63,0,0,59.8193,95.2381,0.5238,100.0,100.0
-10,81,0,0,71.7857,93.8272,0.5432,100.0,100.0
-9,86,0,1,33.5293,97.6471,0.2588,100.0,100.0
-8,100,0,0,46.4303,96.0,0.36,100.0,100.0
-7,72,0,0,19.0478,98.6111,0.1111,100.0,100.0
-6,64,0,0,35.2576,96.875,0.25,100.0,100.0
-5,79,0,0,16.7381,98.7342,0.1013,100.0,100.0
0,1,0,0,3.7393,100.0,0.0,100.0,100.0
