SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy,SymbolAccuracyPerPacket
-29,47,0,47,nan,0.0,nan,0.0,0.0,0.0
-28,47,0,47,nan,0.0,nan,0.0,0.0,0.0
-27,42,0,42,nan,0.0,nan,0.0,0.0,0.0
-26,42,1,41,nan,0.0,nan,0.0,0.0,0.0
-25,43,1,42,nan,0.0,nan,0.0,0.0,0.0
-24,33,0,33,nan,0.0,nan,0.0,0.0,0.0
-23,38,0,38,nan,0.0,nan,0.0,0.0,0.0
-22,28,0,27,231.7443,100.0,2.0,100.0,60.0,2.1429
-21,39,0,33,3562.3144,33.3333,29.5,33.3333,63.3333,9.7436
-20,47,0,35,3211.6448,66.6667,26.8333,66.6667,68.3333,17.4468
-19,32,0,16,1928.6483,87.5,15.6875,87.5,85.625,42.8125
-18,41,0,9,82.9975,96.875,0.7812,96.875,96.875,75.6098
-17,41,0,1,57.9741,100.0,0.875,100.0,100.0,97.561
-16,36,0,0,40.6497,100.0,0.5833,100.0,100.0,100.0
-15,39,0,0,31.0382,100.0,0.4615,100.0,100.0,100.0
-14,40,0,0,31.8759,100.0,0.425,100.0,100.0,100.0
-13,32,0,0,22.211,100.0,0.3438,100.0,100.0,100.0
-12,36,0,0,18.8636,100.0,0.3611,100.0,100.0,100.0
-11,47,0,0,11.5702,100.0,0.1489,100.0,100.0,100.0
-10,39,0,2,10.7908,100.0,0.0811,100.0,100.0,94.8718
-9,34,0,0,8.8438,100.0,0.0588,100.0,100.0,100.0
-8,47,0,0,8.9032,100.0,0.0,100.0,100.0,100.0
-7,43,0,0,7.3065,100.0,0.0233,100.0,100.0,100.0
-6,39,0,0,5.0734,100.0,0.0256,100.0,100.0,100.0
-5,48,0,0,3.8002,100.0,0.0,100.0,100.0,100.0
