SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy,SymbolAccuracyPerPacket
-29,45,0,45,nan,0.0,nan,0.0,0.0,0.0
-28,32,0,32,nan,0.0,nan,0.0,0.0,0.0
-27,46,0,46,nan,0.0,nan,0.0,0.0,0.0
-26,48,0,48,nan,0.0,nan,0.0,0.0,0.0
-25,39,0,39,nan,0.0,nan,0.0,0.0,0.0
-24,31,0,31,nan,0.0,nan,0.0,0.0,0.0
-23,32,0,31,38.256,100.0,0.0,100.0,50.0,1.5625
-22,49,1,46,2438.1118,50.0,20.5,50.0,75.0,3.0612
-21,34,0,33,27534.9687,0.0,226.0,0.0,20.0,0.5882
-20,44,0,32,3914.0414,75.0,32.75,75.0,81.6667,22.2727
-19,39,0,18,807.8305,85.7143,6.8571,90.4762,86.6667,46.6667
-18,43,0,5,1245.2336,94.7368,10.3947,94.7368,95.0,83.9535
-17,43,0,1,814.4166,95.2381,6.9524,95.2381,98.3333,96.0465
-16,37,0,0,390.7323,97.2973,3.2703,97.2973,100.0,100.0
-15,36,0,0,35.5026,100.0,0.3611,100.0,100.0,100.0
-14,33,0,1,32.036,100.0,0.4375,100.0,100.0,96.9697
-13,42,0,0,25.4446,100.0,0.2143,100.0,100.0,100.0
-12,45,0,0,17.7185,100.0,0.2667,100.0,100.0,100.0
-11,33,0,0,13.1261,100.0,0.1818,100.0,100.0,100.0
-10,39,0,0,11.879,100.0,0.0769,100.0,100.0,100.0
-9,43,0,1,8.7358,100.0,0.1667,100.0,100.0,97.6744
-8,38,0,0,6.9997,100.0,0.0263,100.0,100.0,100.0
-7,48,0,0,7.2727,100.0,0.0208,100.0,100.0,100.0
-6,43,0,0,72.0602,97.6744,0.5581,97.6744,100.0,100.0
-5,38,0,0,29.0561,97.3684,0.2105,100.0,100.0,100.0
