SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,70,2,68,nan,0.0,nan,0.0,0.0
-33,61,0,61,nan,0.0,nan,0.0,0.0
-32,57,3,54,nan,0.0,nan,0.0,0.0
-31,55,2,53,nan,0.0,nan,0.0,0.0
-30,64,2,62,nan,0.0,nan,0.0,0.0
-29,57,2,55,nan,0.0,nan,0.0,0.0
-28,40,1,39,nan,0.0,nan,0.0,0.0
-27,52,0,52,nan,0.0,nan,0.0,0.0
-26,53,0,53,nan,0.0,nan,0.0,0.0
-25,58,0,58,nan,0.0,nan,0.0,0.0
-24,53,0,53,nan,0.0,nan,0.0,0.0
-23,70,1,69,nan,0.0,nan,0.0,0.0
-22,55,1,54,nan,0.0,nan,0.0,0.0
-21,53,0,50,2851.9317,33.3333,23.3333,66.6667,56.6667
-20,59,0,52,4647.8174,42.8571,38.8571,71.4286,75.7143
-19,60,0,41,1531.1744,57.8947,12.4211,89.4737,73.1579
-18,58,3,28,1513.8454,74.0741,12.3704,88.8889,95.9259
-17,63,2,17,347.9759,79.5455,2.8864,95.4545,99.3182
-16,64,1,7,713.3934,80.3571,6.0357,92.8571,99.6429
-15,55,0,2,274.2747,75.4717,2.4717,96.2264,100.0
-14,58,0,0,625.4468,77.5862,5.2241,94.8276,99.8276
-13,50,0,0,116.2934,90.0,1.12,100.0,100.0
-12,55,0,0,120.4846,89.0909,1.1818,98.1818,100.0
-11,56,0,0,137.0715,87.5,1.0893,98.2143,100.0
-10,56,0,0,133.2047,87.5,1.0893,100.0,100.0
-9,56,0,0,95.0178,91.0714,0.8214,98.2143,100.0
-8,63,0,0,83.9081,92.0635,0.7143,100.0,100.0
-7,62,1,0,117.7943,88.5246,0.9508,100.0,100.0
-6,46,0,0,195.5813,80.4348,1.587,100.0,100.0
-5,61,0,0,115.2509,88.5246,0.918,100.0,100.0
-4,59,1,0,137.4405,86.2069,1.1034,100.0,100.0
-3,55,0,0,162.3723,83.6364,1.3091,100.0,100.0
-2,46,1,0,153.9318,84.4444,1.2444,100.0,100.0
-1,61,1,1,183.5197,81.3559,1.4915,100.0,100.0
0,61,0,1,166.7788,83.0508,1.3559,100.0,100.0
