SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,67,2,65,nan,0.0,nan,0.0,0.0
-33,68,1,67,nan,0.0,nan,0.0,0.0
-32,55,0,55,nan,0.0,nan,0.0,0.0
-31,47,1,46,nan,0.0,nan,0.0,0.0
-30,56,1,55,nan,0.0,nan,0.0,0.0
-29,48,0,48,nan,0.0,nan,0.0,0.0
-28,58,2,56,nan,0.0,nan,0.0,0.0
-27,53,0,53,nan,0.0,nan,0.0,0.0
-26,58,2,56,nan,0.0,nan,0.0,0.0
-25,56,0,56,nan,0.0,nan,0.0,0.0
-24,59,2,57,nan,0.0,nan,0.0,0.0
-23,80,2,78,nan,0.0,nan,0.0,0.0
-22,48,0,47,884.6447,0.0,7.0,100.0,80.0
-21,70,0,70,nan,0.0,nan,0.0,0.0
-20,49,1,43,2068.9422,60.0,17.4,60.0,74.0
-19,70,1,47,6163.4742,36.3636,50.6364,50.0,77.2727
-18,48,0,24,1666.002,70.8333,13.7083,87.5,94.5833
-17,50,0,15,1763.2871,74.2857,14.8286,88.5714,98.0
-16,54,0,8,910.0649,71.7391,7.4565,93.4783,99.5652
-15,61,0,0,185.3353,85.2459,1.7705,96.7213,99.5082
-14,55,0,0,239.3747,78.1818,2.1818,90.9091,100.0
-13,52,0,0,230.9088,78.8462,2.1346,96.1538,100.0
-12,63,0,0,174.0489,84.127,1.4127,98.4127,100.0
-11,54,0,0,73.392,94.4444,0.7037,100.0,100.0
-10,56,0,0,252.5027,75.0,2.1071,98.2143,100.0
-9,53,0,0,82.9085,92.4528,0.6981,100.0,100.0
-8,50,0,0,142.6142,86.0,1.18,100.0,100.0
-7,57,0,0,193.5841,80.7018,1.5965,98.2456,100.0
-6,52,0,0,116.9491,88.4615,0.9231,100.0,100.0
-5,74,1,0,163.0783,83.5616,1.3288,100.0,100.0
-4,56,1,0,127.4938,87.2727,1.0182,100.0,100.0
-3,42,0,0,142.478,85.7143,1.1429,100.0,100.0
-2,61,0,0,97.7467,90.1639,0.7869,100.0,100.0
-1,60,3,0,87.2771,91.2281,0.7018,100.0,100.0
0,61,2,0,117.0829,88.1356,0.9492,100.0,100.0
