SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy,SymbolAccuracyPerPacket
-29,37,0,37,nan,0.0,nan,0.0,0.0,0.0
-28,31,1,30,nan,0.0,nan,0.0,0.0,0.0
-27,32,0,32,nan,0.0,nan,0.0,0.0,0.0
-26,29,0,29,nan,0.0,nan,0.0,0.0,0.0
-25,51,0,51,nan,0.0,nan,0.0,0.0,0.0
-24,36,0,36,nan,0.0,nan,0.0,0.0,0.0
-23,52,0,49,10448.9384,0.0,85.6667,33.3333,30.0,1.7308
-22,43,0,43,nan,0.0,nan,0.0,0.0,0.0
-21,38,0,37,24.1498,100.0,0.0,100.0,90.0,2.3684
-20,31,0,27,7745.2018,50.0,64.0,75.0,65.0,8.3871
-19,46,0,35,1747.6135,63.6364,14.3636,63.6364,97.2727,23.2609
-18,36,0,14,94.036,95.4545,1.0,100.0,95.0,58.0556
-17,27,0,6,1724.9399,90.4762,14.6667,90.4762,98.5714,76.6667
-16,44,0,1,653.2689,88.3721,5.5349,95.3488,100.0,97.7273
-15,40,0,1,134.1955,89.7436,1.3077,100.0,100.0,97.5
-14,49,0,1,91.2837,93.75,0.6667,100.0,100.0,97.9592
-13,44,0,0,65.3742,95.4545,0.9318,97.7273,100.0,100.0
-12,34,0,0,75.6096,94.1176,0.6471,100.0,100.0,100.0
-11,49,0,0,92.3473,91.8367,0.8367,97.9592,100.0,100.0
-10,44,0,0,13.0765,100.0,0.0455,100.0,100.0,100.0
-9,51,0,0,85.0094,92.1569,0.7059,100.0,100.0,100.0
-8,45,0,0,6.3341,100.0,0.0222,100.0,100.0,100.0
-7,46,0,0,69.6848,93.4783,0.5652,100.0,100.0,100.0
-6,28,0,0,39.2066,96.4286,0.3214,100.0,100.0,100.0
-5,37,0,0,56.7768,94.5946,0.4324,100.0,100.0,100.0
0,1,0,0,3.7377,100.0,0.0,100.0,100.0,100.0
