SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,105,4,101,nan,0.0,nan,0.0,0.0
-33,84,1,83,nan,0.0,nan,0.0,0.0
-32,73,4,69,nan,0.0,nan,0.0,0.0
-31,74,2,72,nan,0.0,nan,0.0,0.0
-30,82,3,79,nan,0.0,nan,0.0,0.0
-29,83,3,80,nan,0.0,nan,0.0,0.0
-28,57,1,56,nan,0.0,nan,0.0,0.0
-27,67,0,67,nan,0.0,nan,0.0,0.0
-26,78,0,78,nan,0.0,nan,0.0,0.0
-25,85,0,85,nan,0.0,nan,0.0,0.0
-24,82,1,81,nan,0.0,nan,0.0,0.0
-23,91,1,90,nan,0.0,nan,0.0,0.0
-22,76,1,75,nan,0.0,nan,0.0,0.0
-21,73,0,69,2437.2018,25.0,19.5,75.0,62.5
-20,80,0,72,4091.0284,50.0,34.125,75.0,72.5
-19,88,0,61,2151.5357,62.963,17.5185,85.1852,78.1481
-18,79,4,43,2135.33,68.75,17.5,87.5,95.3125
-17,84,3,21,319.2381,80.0,2.7,95.0,99.0
-16,90,1,10,1149.162,75.9494,9.6329,89.8734,99.6203
-15,85,0,6,281.8911,74.6835,2.557,94.9367,100.0
-14,79,0,0,503.9269,79.7468,4.2152,96.2025,99.8734
-13,69,0,0,132.6957,88.4058,1.2464,98.5507,100.0
-12,78,0,0,151.5398,85.8974,1.4615,97.4359,100.0
-11,77,0,0,116.8498,89.6104,0.9221,98.7013,100.0
-10,78,0,0,148.632,85.8974,1.2051,100.0,100.0
-9,74,0,0,126.1565,87.8378,1.0541,98.6486,100.0
-8,80,0,0,128.2073,87.5,1.0625,100.0,100.0
-7,86,1,0,109.0272,89.4118,0.9294,100.0,100.0
-6,71,0,0,196.7164,80.2817,1.5915,100.0,100.0
-5,83,0,0,120.6487,87.9518,0.9639,100.0,100.0
-4,89,1,0,113.6085,88.6364,0.9091,100.0,100.0
-3,72,0,0,151.8262,84.7222,1.2222,100.0,100.0
-2,64,2,0,159.6766,83.871,1.2903,100.0,100.0
-1,84,2,1,170.2467,82.716,1.3827,100.0,100.0
0,95,0,1,146.8371,85.1064,1.1915,100.0,100.0
