SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,64,1,63,nan,0.0,nan,0.0,0.0
-33,61,2,59,nan,0.0,nan,0.0,0.0
-32,63,3,60,nan,0.0,nan,0.0,0.0
-31,59,3,56,nan,0.0,nan,0.0,0.0
-30,54,2,52,nan,0.0,nan,0.0,0.0
-29,52,0,52,nan,0.0,nan,0.0,0.0
-28,63,2,61,nan,0.0,nan,0.0,0.0
-27,68,3,65,nan,0.0,nan,0.0,0.0
-26,62,6,56,nan,0.0,nan,0.0,0.0
-25,55,1,54,nan,0.0,nan,0.0,0.0
-24,58,3,55,nan,0.0,nan,0.0,0.0
-23,50,6,44,nan,0.0,nan,0.0,0.0
-22,53,8,45,nan,0.0,nan,0.0,0.0
-21,52,18,32,27719.1353,0.0,226.5,0.0,25.0
-20,50,22,27,23.9548,100.0,1.0,100.0,100.0
-19,67,31,34,576.3855,50.0,5.0,100.0,90.0
-18,54,34,14,6884.8113,50.0,57.3333,50.0,76.6667
-17,57,33,4,179.9569,90.0,1.8,100.0,99.0
-16,61,39,6,1502.6034,75.0,12.125,93.75,99.375
-15,54,37,0,1425.3214,82.3529,11.7059,88.2353,100.0
-14,50,35,0,285.808,73.3333,2.5333,93.3333,100.0
-13,59,45,0,155.7716,85.7143,1.4286,100.0,100.0
-12,51,36,0,269.6045,73.3333,2.2667,100.0,100.0
-11,47,31,0,132.1774,87.5,1.25,100.0,100.0
-10,56,33,0,136.8036,86.9565,1.1304,100.0,100.0
-9,66,44,0,184.1814,81.8182,1.5455,100.0,100.0
-8,48,31,0,120.7995,88.2353,1.0,100.0,100.0
-7,65,48,0,176.1713,82.3529,1.4706,100.0,100.0
-6,53,37,0,186.569,81.25,1.5,100.0,100.0
-5,52,37,0,67.7482,93.3333,0.5333,100.0,100.0
-4,64,46,0,57.2503,94.4444,0.4444,100.0,100.0
-3,66,42,0,246.9583,75.0,2.0,100.0,100.0
-2,57,48,0,109.488,88.8889,0.8889,100.0,100.0
-1,67,51,0,123.5431,87.5,1.0,100.0,100.0
0,68,50,0,164.3977,83.3333,1.3333,100.0,100.0
