SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,71,2,69,nan,0.0,nan,0.0,0.0
-33,62,0,62,nan,0.0,nan,0.0,0.0
-32,61,4,57,nan,0.0,nan,0.0,0.0
-31,55,2,53,nan,0.0,nan,0.0,0.0
-30,65,2,63,nan,0.0,nan,0.0,0.0
-29,59,2,57,nan,0.0,nan,0.0,0.0
-28,41,1,40,nan,0.0,nan,0.0,0.0
-27,53,0,53,nan,0.0,nan,0.0,0.0
-26,53,0,53,nan,0.0,nan,0.0,0.0
-25,62,0,62,nan,0.0,nan,0.0,0.0
-24,55,0,55,nan,0.0,nan,0.0,0.0
-23,71,1,70,nan,0.0,nan,0.0,0.0
-22,58,1,57,nan,0.0,nan,0.0,0.0
-21,56,0,53,2851.9317,33.3333,23.3333,66.6667,56.6667
-20,62,0,55,4647.8174,42.8571,38.8571,71.4286,75.7143
-19,60,0,41,1531.1744,57.8947,12.4211,89.4737,73.1579
-18,59,3,29,1513.8454,74.0741,12.3704,88.8889,95.9259
-17,63,2,17,347.9759,79.5455,2.8864,95.4545,99.3182
-16,65,1,7,701.6698,80.7018,5.9298,92.9825,99.6491
-15,55,0,2,274.2747,75.4717,2.4717,96.2264,100.0
-14,61,0,0,596.3576,78.6885,4.9672,95.082,99.8361
-13,54,0,0,109.2733,90.7407,1.0926,100.0,100.0
-12,55,0,0,120.4846,89.0909,1.1818,98.1818,100.0
-11,57,0,0,134.8665,87.7193,1.0702,98.2456,100.0
-10,56,0,0,133.2047,87.5,1.0893,100.0,100.0
-9,57,0,0,110.4681,89.4737,0.9298,98.2456,100.0
-8,66,0,0,80.2496,92.4242,0.6818,100.0,100.0
-7,63,1,0,116.1015,88.7097,0.9355,100.0,100.0
-6,49,0,0,184.0317,81.6327,1.4898,100.0,100.0
-5,63,0,0,111.7086,88.8889,0.8889,100.0,100.0
-4,60,1,0,151.5975,84.7458,1.2203,100.0,100.0
-3,56,0,0,176.9763,82.1429,1.4286,100.0,100.0
-2,46,1,0,153.9318,84.4444,1.2444,100.0,100.0
-1,63,1,1,177.5761,81.9672,1.4426,100.0,100.0
0,63,0,1,158.8256,83.871,1.2903,100.0,100.0
