SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy,SymbolAccuracyPerPacket
-29,17,1,16,nan,0.0,nan,0.0,0.0,0.0
-28,15,0,15,nan,0.0,nan,0.0,0.0,0.0
-27,20,0,20,nan,0.0,nan,0.0,0.0,0.0
-26,15,1,14,nan,0.0,nan,0.0,0.0,0.0
-25,18,0,18,nan,0.0,nan,0.0,0.0,0.0
-24,19,0,19,nan,0.0,nan,0.0,0.0,0.0
-23,17,0,17,nan,0.0,nan,0.0,0.0,0.0
-22,23,0,23,nan,0.0,nan,0.0,0.0,0.0
-21,18,1,16,69.4103,100.0,1.0,100.0,70.0,3.8889
-20,18,0,15,424.7051,66.6667,3.0,100.0,93.3333,15.5556
-19,17,0,14,108.0533,100.0,2.3333,100.0,83.3333,14.7059
-18,15,0,10,3002.9514,80.0,25.2,80.0,94.0,31.3333
-17,12,1,4,99.3721,100.0,0.7143,100.0,97.1429,56.6667
-16,22,0,3,804.735,94.7368,6.7895,94.7368,96.8421,83.6364
-15,11,0,1,25.9503,100.0,0.3,100.0,100.0,90.9091
-14,11,0,0,31.7693,100.0,0.6364,100.0,100.0,100.0
-13,12,0,0,24.8555,100.0,0.25,100.0,100.0,100.0
-12,17,1,0,17.7019,100.0,0.1875,100.0,100.0,94.1176
-11,11,0,0,12.8259,100.0,0.0,100.0,100.0,100.0
-10,18,0,0,13.3142,100.0,0.1667,100.0,100.0,100.0
-9,11,0,0,11.9724,100.0,0.0909,100.0,100.0,100.0
-8,18,2,0,7.3294,100.0,0.0625,100.0,100.0,88.8889
-7,14,1,0,5.9966,100.0,0.0,100.0,100.0,92.8571
-6,10,1,0,5.0807,100.0,0.1111,100.0,100.0,90.0
-5,21,2,0,3.8012,100.0,0.0,100.0,100.0,90.4762
