SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,110,4,106,nan,0.0,nan,0.0,0.0
-33,86,1,85,nan,0.0,nan,0.0,0.0
-32,79,4,75,nan,0.0,nan,0.0,0.0
-31,81,2,79,nan,0.0,nan,0.0,0.0
-30,88,4,84,nan,0.0,nan,0.0,0.0
-29,89,5,84,nan,0.0,nan,0.0,0.0
-28,60,1,59,nan,0.0,nan,0.0,0.0
-27,71,1,70,nan,0.0,nan,0.0,0.0
-26,85,1,84,nan,0.0,nan,0.0,0.0
-25,88,0,88,nan,0.0,nan,0.0,0.0
-24,86,1,85,nan,0.0,nan,0.0,0.0
-23,97,1,96,nan,0.0,nan,0.0,0.0
-22,82,1,81,nan,0.0,nan,0.0,0.0
-21,76,1,71,2437.2018,25.0,19.5,75.0,62.5
-20,85,0,76,3692.3573,44.4444,30.7778,77.7778,66.6667
-19,92,0,64,2075.5844,64.2857,16.9286,85.7143,78.5714
-18,86,4,47,2436.1988,68.5714,20.0,85.7143,94.8571
-17,86,3,22,315.2276,80.3279,2.6721,95.082,99.0164
-16,91,1,10,1136.3883,76.25,9.5375,90.0,99.625
-15,88,0,6,285.1329,74.3902,2.5976,93.9024,100.0
-14,83,0,0,493.2231,79.5181,4.1446,96.3855,99.8795
-13,72,0,0,128.673,88.8889,1.2083,98.6111,100.0
-12,81,0,0,146.2931,86.4198,1.4074,97.5309,100.0
-11,82,0,0,110.8544,90.2439,0.878,98.7805,100.0
-10,81,0,0,167.3674,83.9506,1.3704,98.7654,100.0
-9,80,0,0,130.1115,87.5,1.0875,98.75,100.0
-8,83,0,0,135.4578,86.747,1.1325,100.0,100.0
-7,93,1,0,101.4789,90.2174,0.8587,100.0,100.0
-6,77,0,0,194.3457,80.5195,1.5714,100.0,100.0
-5,85,0,0,117.8947,88.2353,0.9412,100.0,100.0
-4,95,1,0,127.4037,87.234,1.0213,100.0,100.0
-3,77,0,0,154.7806,84.4156,1.2468,100.0,100.0
-2,68,2,0,150.0716,84.8485,1.2121,100.0,100.0
-1,89,2,1,171.8715,82.5581,1.3953,100.0,100.0
0,105,0,1,142.2488,85.5769,1.1538,100.0,100.0
