Epoch,Phase,Loss,MSELoss,CCELoss,Accuracy
1,train,100.8501587562561,0.012000819647967816,8.443847458999635,"tensor(89.4629, device='cuda:0', dtype=torch.float64)"
1,val,6.92741439819336,0.0004396441929042339,3.5421540557861326,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
2,train,6.549412719696045,0.00043039738627709446,3.2353528452301026,"tensor(99.9966, device='cuda:0', dtype=torch.float64)"
2,val,4.924555059814453,0.00025790525898337365,2.938684585571289,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
3,train,5.2563939083557125,0.00031720377045031634,2.8139248751068116,"tensor(99.9961, device='cuda:0', dtype=torch.float64)"
3,val,4.369089453125,0.00022787980120629072,2.614415008544922,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
4,train,4.70698171887207,0.0002776645544124767,2.56896465083313,"tensor(99.9963, device='cuda:0', dtype=torch.float64)"
4,val,3.992158251953125,0.0002025467313826084,2.4325483947753908,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
5,train,4.395489271545411,0.00025821214813925327,2.4072557311706544,"tensor(99.9979, device='cuda:0', dtype=torch.float64)"
5,val,3.7963047790527344,0.00019929091427475215,2.2617647262573244,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
6,train,4.149869968597412,0.00024134963244572282,2.2914777975616456,"tensor(99.9994, device='cuda:0', dtype=torch.float64)"
6,val,3.6721602325439453,0.00019576760306954383,2.1647496719360353,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
7,train,3.972959108413696,0.00023028120610304176,2.199793822380066,"tensor(99.9998, device='cuda:0', dtype=torch.float64)"
7,val,3.5335382354736327,0.00018756746370345354,2.0892687576293945,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
8,train,3.8419038818359375,0.00022289361940138041,2.1256230134811402,"tensor(99.9992, device='cuda:0', dtype=torch.float64)"
8,val,3.4357171813964844,0.00018274739906191825,2.028562213134766,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
9,train,3.756228550720215,0.0002193021586155519,2.0676019297637938,"tensor(99.9983, device='cuda:0', dtype=torch.float64)"
9,val,3.3345896484375,0.00018084725569933653,1.9420657684326172,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
10,train,3.663033872314453,0.00021388191769551487,2.0161431065063478,"tensor(99.9993, device='cuda:0', dtype=torch.float64)"
10,val,3.243832437133789,0.00017771119140088559,1.8754562561035155,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
11,train,3.59871139553833,0.000211472772535868,1.9703710476150513,"tensor(99.9988, device='cuda:0', dtype=torch.float64)"
11,val,3.2093348846435545,0.0001775730786845088,1.8420221786499023,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
12,train,3.5318136503601076,0.0002079329700442031,1.930729780960083,"tensor(99.9992, device='cuda:0', dtype=torch.float64)"
12,val,3.13265641784668,0.00017300457507371902,1.8005211746215821,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
13,train,3.4768290334625243,0.00020529173092544077,1.8960827048721314,"tensor(99.9992, device='cuda:0', dtype=torch.float64)"
13,val,3.140576806640625,0.0001784035885706544,1.7668691757202148,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
14,train,3.420237489852905,0.0002023099375795573,1.8624509705581664,"tensor(99.9994, device='cuda:0', dtype=torch.float64)"
14,val,3.0988082458496096,0.00017670482341200112,1.7381810989379882,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
15,train,3.373746467453003,0.0001995957103203982,1.8368594982070923,"tensor(100., device='cuda:0', dtype=torch.float64)"
15,val,3.057770037841797,0.0001758145421743393,1.7039980682373046,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
16,train,3.3391244345092774,0.00019827933633606882,1.8123735439300537,"tensor(99.9998, device='cuda:0', dtype=torch.float64)"
16,val,3.0186372436523436,0.00017423555068671703,1.6770235092163086,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
17,train,3.312902166366577,0.00019804711983259767,1.7879393429489137,"tensor(99.9989, device='cuda:0', dtype=torch.float64)"
17,val,2.9492605712890625,0.00017111531496047974,1.6316726486206055,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
18,train,3.2734353070373534,0.00019570365960523486,1.766517128440857,"tensor(99.9995, device='cuda:0', dtype=torch.float64)"
18,val,2.912222393798828,0.00016754978634417057,1.6220890380859374,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
19,train,3.2464853129119873,0.00019486928146332503,1.745991844795227,"tensor(99.9994, device='cuda:0', dtype=torch.float64)"
19,val,2.9347435791015624,0.0001722408188506961,1.6084892578125,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
20,train,3.217480625930786,0.00019317298306617886,1.730048655395508,"tensor(99.9999, device='cuda:0', dtype=torch.float64)"
20,val,2.928908108520508,0.00017265559174120426,1.5994600311279297,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
21,train,3.1952053822021482,0.00019244631023705006,1.7133687938995361,"tensor(99.9994, device='cuda:0', dtype=torch.float64)"
21,val,2.9036668975830078,0.00017248618621379136,1.5755232833862305,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
22,train,3.1677469378814695,0.00019105714640580118,1.6966069107437134,"tensor(99.9999, device='cuda:0', dtype=torch.float64)"
22,val,2.899228109741211,0.000169959513284266,1.5905398651123046,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
23,train,3.142552684814453,0.0001896946530872956,1.681903856010437,"tensor(100., device='cuda:0', dtype=torch.float64)"
23,val,2.8088824340820313,0.00016591835524886847,1.5313111114501954,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
24,train,3.1202959383544924,0.00018867487903218716,1.6674993695907592,"tensor(100., device='cuda:0', dtype=torch.float64)"
24,val,2.8068186737060548,0.0001681349903345108,1.5121792694091798,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
25,train,3.105664245315552,0.00018851768367923795,1.6540780815582274,"tensor(100., device='cuda:0', dtype=torch.float64)"
25,val,2.8676488098144532,0.00017887484580278397,1.490312516784668,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
26,train,3.0853106251678466,0.00018746944464091212,1.6417959009475709,"tensor(99.9999, device='cuda:0', dtype=torch.float64)"
26,val,2.803946969604492,0.00016918403934687375,1.501229884338379,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
27,train,3.070965953918457,0.00018700017736572773,1.6310645871200562,"tensor(99.9997, device='cuda:0', dtype=torch.float64)"
27,val,2.7797946197509766,0.00016955311335623265,1.4742356475830078,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
28,train,3.054645031829834,0.00018650982629321515,1.6185193692169189,"tensor(99.9997, device='cuda:0', dtype=torch.float64)"
28,val,2.7329952392578125,0.00016424757493659853,1.4682889022827148,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
29,train,3.036217006286621,0.00018531891064718365,1.6092613950424195,"tensor(100., device='cuda:0', dtype=torch.float64)"
29,val,2.696326364135742,0.0001641070472076535,1.4327021133422853,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
30,train,3.0247833199615477,0.0001852353297797963,1.5984712823104859,"tensor(99.9998, device='cuda:0', dtype=torch.float64)"
30,val,2.6981630279541013,0.0001642072322778404,1.4337673355102538,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
31,train,3.0082445962524416,0.00018420362290833144,1.5898766991119384,"tensor(99.9997, device='cuda:0', dtype=torch.float64)"
31,val,2.677700955200195,0.00016235387083142995,1.4275761566162108,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
32,train,2.995751836669922,0.000183562202389352,1.5823228776168823,"tensor(99.9999, device='cuda:0', dtype=torch.float64)"
32,val,2.696840252685547,0.00016511019943282008,1.425491731262207,"tensor(99.8400, device='cuda:0', dtype=torch.float64)"
