SNR,DetRate
-34,2.7027
-33,0.0
-32,0.0
-31,0.0
-30,0.0
-29,1.4286
-28,2.5974
-27,0.0
-26,2.0619
-25,5.9524
-24,6.8966
-23,9.7561
-22,17.8571
-21,17.4603
-20,19.2771
-19,34.1176
-18,39.726
-17,50.0
-16,57.8313
-15,69.5652
-14,77.5
-13,82.2785
-12,90.6977
-11,91.0256
-10,95.122
