SNR,DetRate
-34,0.0
-33,0.0
-32,0.0
-31,0.0
-30,0.0
-29,0.0
-28,0.0
-27,0.0
-26,0.0
-25,0.0
-24,0.0
-23,0.0
-22,0.0
-21,0.0
-20,0.0
-19,0.0
-18,0.0
-17,1.1429
-16,4.0541
-15,13.6
-14,29.5775
-13,53.6913
-12,82.2222
-11,89.0411
-10,97.2603
-9,100.0
-8,100.0
-7,100.0
-6,100.0
-5,100.0
-4,100.0
-3,100.0
-2,100.0
-1,100.0
0,100.0
