SNR,DetRate
-29,28.4211
-28,30.0971
-27,23.5294
-26,33.913
-25,39.823
-24,32.6531
-23,31.6327
-22,37.5
-21,42.7083
-20,47.1264
-19,50.0
-18,57.4468
-17,62.8571
-16,80.9524
-15,81.0526
-14,88.3495
-13,89.1089
-12,88.5714
-11,89.5833
-10,91.9192
