SNR,DetRate
-29,11.3636
-28,8.0808
-27,9.009
-26,6.3158
-25,11.7117
-24,17.4419
-23,26.4368
-22,22.4719
-21,32.7273
-20,38.835
-19,44.0
-18,58.427
-17,58.0645
-16,57.1429
-15,74.5098
-14,78.022
-13,74.3119
-12,88.9831
-11,86.5979
-10,87.2727
