SNR,DetRate
-29,3.6364
-28,3.0612
-27,6.3158
-26,2.9412
-25,5.1546
-24,4.2105
-23,11.6071
-22,9.7826
-21,5.3571
-20,21.5686
-19,18.1818
-18,28.5714
-17,23.0769
-16,27.1739
-15,18.1818
-14,26.5957
-13,20.9091
-12,20.5882
-11,16.3265
-10,17.8947
