SNR,DetRate
-29,0.0
-28,0.0
-27,0.3876
-26,0.7407
-25,2.8226
-24,5.9072
-23,9.1667
-22,26.4151
-21,53.7255
-20,80.5907
-19,90.4255
-18,97.3978
-17,99.6032
-16,100.0
-15,99.1489
-14,99.2537
-13,100.0
-12,100.0
-11,100.0
-10,100.0
