SNR,DetRate
-29,6.383
-28,4.8544
-27,5.0505
-26,8.0808
-25,7.4074
-24,9.9099
-23,11.7647
-22,12.7119
-21,15.2174
-20,13.3333
-19,17.8571
-18,11.828
-17,5.4054
-16,2.381
-15,2.8302
-14,0.0
-13,1.1236
-12,0.8065
-11,0.0
-10,0.0
