SNR,DetRate
-29,1.7699
-28,2.8302
-27,1.0417
-26,0.0
-25,1.9048
-24,3.8462
-23,6.9767
-22,1.1765
-21,2.1053
-20,1.7094
-19,0.0
-18,1.9417
-17,1.8519
-16,0.0
-15,0.9346
-14,0.9434
-13,0.0
-12,0.9615
-11,1.0638
-10,0.0
